#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.41037     1.41037           0
           2     1.28552     1.34795    0.044144
           3     1.38145     1.35911   0.0308093
           4     1.35106      1.3571   0.0231727
           5     1.49849     1.38538   0.0313597
           6     1.29425     1.37019   0.0295828
           7      1.3342     1.36505   0.0257997
           8     1.44946      1.3756    0.024638
           9     1.34044     1.37169   0.0222079
          10     1.47689     1.38221   0.0223404
          11     1.43216     1.38675   0.0207657
          12     1.40625     1.38838   0.0190987
          13     1.33261     1.38409   0.0181049
          14     1.41092     1.38601   0.0169128
          15     1.41346     1.38784    0.015884
          16     1.46186     1.39246   0.0155504
          17     1.29374     1.38665   0.0156826
          18     1.45217     1.39029   0.0152279
          19     1.35618      1.3885   0.0145319
          20     1.30058      1.3841   0.0144549
          21     1.32284     1.38119   0.0140579
          22     1.37826     1.38105   0.0134196
          23     1.44305     1.38375   0.0131041
          24     1.42967     1.38566    0.012697
          25     1.39892     1.38619   0.0122002
          26     1.34464     1.38459   0.0118352
          27     1.45393     1.38716   0.0116721
          28     1.41232     1.38806   0.0112898
          29     1.40472     1.38863   0.0109151
          30     1.38717     1.38859   0.0105513
          31     1.49797     1.39211   0.0107849
          32     1.34618     1.39068   0.0105429
          33     1.33955     1.38913   0.0103367
          34     1.34094     1.38771   0.0101293
          35     1.40047     1.38808  0.00984648
          36     1.30796     1.38585  0.00982125
          37      1.3756     1.38557  0.00955972
          38     1.40169       1.386  0.00931755
          39     1.37311     1.38567   0.0090845
          40     1.44596     1.38718  0.00898157
          41     1.46791     1.38914  0.00897576
          42     1.37825     1.38888  0.00876579
          43     1.44907     1.39028  0.00867296
          44     1.47106     1.39212  0.00866798
          45     1.45151     1.39344  0.00857524
          46     1.32989     1.39206  0.00849938
          47     1.47752     1.39388   0.0085108
          48     1.37696     1.39352  0.00834079
          49     1.49926     1.39568  0.00844509
          50     1.25497     1.39287   0.0087325
          51     1.46018     1.39419  0.00866044
          52     1.48669     1.39597  0.00867467
          53     1.43127     1.39663  0.00853654
          54     1.47527     1.39809  0.00850175
          55     1.49265     1.39981  0.00851923
          56     1.48687     1.40136  0.00850777
          57     1.47171      1.4026  0.00844756
          58      1.4199      1.4029  0.00830717
          59      1.4197     1.40318  0.00817126
          60     1.36826      1.4026  0.00805576
          61     1.35985      1.4019  0.00795413
          62     1.39832     1.40184  0.00782604
          63     1.36771      1.4013  0.00772055
          64     1.40938     1.40142  0.00760095
          65     1.24685     1.39905  0.00784721
          66     1.28101     1.39726   0.0079295
          67     1.44589     1.39798   0.0078443
          68     1.36737     1.39753  0.00774185
          69     1.43225     1.39804  0.00764598
          70     1.35541     1.39743  0.00756097
          71     1.43937     1.39802  0.00747752
          72     1.28894      1.3965  0.00752558
          73     1.31734     1.39542  0.00750022
